VARNUM,NAME,VARTYPE,LENGTH,LABEL
1,CAMPUS,Character,9,Campus Number
2,YEAR,Character,2,Test Administration Year
3,REGION,Character,2,Education Service Center (Region) Number
4,DISTRICT,Character,6,District Number
5,DNAME,Character,15,District Name
6,CNAME,Character,18,Campus Name
7,e1_all_docs_n,Numeric,8,# Answer Documents Submitted -- English I -- All Students
8,e1_all_abs_n,Numeric,8,# Absent - Not Tested -- English I -- All Students
9,e1_all_oth_n,Numeric,8,# Other - Not Tested -- English I -- All Students
10,e1_all_d,Numeric,8,# Tested -- English I -- All Students
11,e1_sexm_d,Numeric,8,# Tested -- English I -- Male Students
12,e1_sexf_d,Numeric,8,# Tested -- English I -- Female Students
13,e1_sexv_d,Numeric,8,# Tested -- English I -- No Sex Info Students
14,e1_ethh_d,Numeric,8,# Tested -- English I -- Hispanic/Latino Students
15,e1_ethi_d,Numeric,8,# Tested -- English I -- American Indian or Alaskan Native Students
16,e1_etha_d,Numeric,8,# Tested -- English I -- Asian Students
17,e1_ethb_d,Numeric,8,# Tested -- English I -- Black/African American Students
18,e1_ethp_d,Numeric,8,# Tested -- English I -- Native Hawaiian/Pacific Islander Students
19,e1_ethw_d,Numeric,8,# Tested -- English I -- White Students
20,e1_eth2_d,Numeric,8,# Tested -- English I -- Two or More Races Students
21,e1_ethv_d,Numeric,8,# Tested -- English I -- No Ethnicity Info Students
22,e1_ecoy_d,Numeric,8,# Tested -- English I -- Econ Disadv Students Codes: 1 2 9
23,e1_econ_d,Numeric,8,# Tested -- English I -- Not Econ Disadv Students
24,e1_eco1_d,Numeric,8,# Tested -- English I -- Free Meals Students
25,e1_eco2_d,Numeric,8,# Tested -- English I -- Reduced-Price Meals Students
26,e1_eco9_d,Numeric,8,# Tested -- English I -- Other Econ Disadvantaged Students
27,e1_ecov_d,Numeric,8,# Tested -- English I -- No Info Econ Students
28,e1_ti1y_d,Numeric,8,# Tested -- English I -- Title-I Participant Students Codes: 6 7 9
29,e1_ti1n_d,Numeric,8,# Tested -- English I -- Not Title-I Participant Students Codes: 0 8
30,e1_ti10_d,Numeric,8,# Tested -- English I -- Nonparticipant (Not Previous Participant Students)
31,e1_ti16_d,Numeric,8,# Tested -- English I -- Schoolwide Program Participant Students
32,e1_ti17_d,Numeric,8,# Tested -- English I -- Targeted Assistance Participant Students
33,e1_ti18_d,Numeric,8,# Tested -- English I -- Nonparticipant (Previous Participant) Students
34,e1_ti19_d,Numeric,8,# Tested -- English I -- Homeless Participant at Non-Title-I Schools Students
35,e1_ti1v_d,Numeric,8,# Tested -- English I -- No Title-I Info Students
36,e1_migy_d,Numeric,8,# Tested -- English I -- Migrant Students
37,e1_mign_d,Numeric,8,# Tested -- English I -- Not Migrant Students
38,e1_migv_d,Numeric,8,# Tested -- English I -- No Migrant Info Students
39,e1_lepc_d,Numeric,8,# Tested -- English I -- Current LEP Students
