VARNUM,NAME,VARTYPE,LENGTH,LABEL
1,YEAR,Character,2,Test Administration Year
2,COURSE,Character,2,Course Code
3,REGION,Character,2,Education Service Center (Region) Number
4,DISTRICT,Character,6,District Number
5,DNAME,Character,15,District Name
6,CAMPUS,Character,9,Campus Number
7,CNAME,Character,15,Campus Name
8,bi_all_docs_n,Numeric,8,# Answer Documents Submitted -- Biology -- All Students
9,bi_all_abs_n,Numeric,8,# Absent - Not Tested -- Biology -- All Students
10,bi_all_oth_n,Numeric,8,# Other - Not Tested -- Biology -- All Students
11,bi_all_d,Numeric,8,# Tested -- Biology -- All Students
12,bi_sexm_d,Numeric,8,# Tested -- Biology -- Male Students
13,bi_sexf_d,Numeric,8,# Tested -- Biology -- Female Students
14,bi_sexv_d,Numeric,8,# Tested -- Biology -- No Sex Info Students
15,bi_ethh_d,Numeric,8,# Tested -- Biology -- Hispanic/Latino Students
16,bi_ethi_d,Numeric,8,# Tested -- Biology -- American Indian or Alaska Native Students
17,bi_etha_d,Numeric,8,# Tested -- Biology -- Asian Students
18,bi_ethb_d,Numeric,8,# Tested -- Biology -- Black or African American Students
19,bi_ethp_d,Numeric,8,# Tested -- Biology -- Native Hawaiian or Other Pacific Islander Students
20,bi_ethw_d,Numeric,8,# Tested -- Biology -- White Students
21,bi_eth2_d,Numeric,8,# Tested -- Biology -- Two or More Races Students
22,bi_ethv_d,Numeric,8,# Tested -- Biology -- No Ethnicity Info Students
23,bi_ecoy_d,Numeric,8,# Tested -- Biology -- Econ Disadv Students Codes: 1 2 9
24,bi_econ_d,Numeric,8,# Tested -- Biology -- Not Econ Disadv Students
25,bi_eco1_d,Numeric,8,# Tested -- Biology -- Free Meals Students
26,bi_eco2_d,Numeric,8,# Tested -- Biology -- Reduced-Price Meals Students
27,bi_eco9_d,Numeric,8,# Tested -- Biology -- Other Econ Disadv Students
28,bi_ecov_d,Numeric,8,# Tested -- Biology -- No Econ Disadv Info Students
29,bi_ti1y_d,Numeric,8,# Tested -- Biology -- Title-I Participant Students Codes: 6 7 9
30,bi_ti1n_d,Numeric,8,# Tested -- Biology -- Not Title-I Participant Students Codes: 0 8
31,bi_ti10_d,Numeric,8,# Tested -- Biology -- Nonparticipant (Not Previous Participant Students)
32,bi_ti16_d,Numeric,8,# Tested -- Biology -- Schoolwide Program Participant Students
33,bi_ti17_d,Numeric,8,# Tested -- Biology -- Targeted Assistance Participant Students
34,bi_ti18_d,Numeric,8,# Tested -- Biology -- Nonparticipant (Previous Participant) Students
35,bi_ti19_d,Numeric,8,# Tested -- Biology -- Homeless Participant at Non-Title-I Schools Students
36,bi_ti1v_d,Numeric,8,# Tested -- Biology -- No Title-I Info Students
37,bi_migy_d,Numeric,8,# Tested -- Biology -- Migrant Students
38,bi_mign_d,Numeric,8,# Tested -- Biology -- Not Migrant Students
39,bi_migv_d,Numeric,8,# Tested -- Biology -- No Migrant Info Students
40,bi_lepc_d,Numeric,8,# Tested -- Biology -- Emergent Bilingual/English Learner Students
41,bi_lepf_d,Numeric,8,# Tested -- Biology -- Reclassified from EB/EL (Monitored 1st Year) Students
42,bi_leps_d,Numeric,8,# Tested -- Biology -- Reclassified from EB/EL (Monitored 2nd Year) Students
43,bi_lept_d,Numeric,8,# Tested -- Biology -- Reclassified from EB/EL (Monitored 3rd Year) Students
44,bi_lepr_d,Numeric,8,# Tested -- Biology -- Reclassified from EB/EL (Monitored 4th Year) Students
45,bi_lepe_d,Numeric,8,# Tested -- Biology -- Former EB/EL (Post Monitoring)  Students
46,bi_lep0_d,Numeric,8,# Tested -- Biology -- Non-Emergent Bilingual/English Learner Students
47,bi_lepv_d,Numeric,8,# Tested -- Biology -- No EBILING Info Students
48,bi_bily_d,Numeric,8,# Tested -- Biology -- Bilingual Students  Codes: 2 3 4 5
49,bi_biln_d,Numeric,8,# Tested -- Biology -- Not Bilingual Students
50,bi_bil2_d,Numeric,8,# Tested -- Biology -- Transitional Bilingual/Early Exit Students
51,bi_bil3_d,Numeric,8,# Tested -- Biology -- Transitional Bilingual/Late Exit Students
52,bi_bil4_d,Numeric,8,# Tested -- Biology -- Dual Language Immersion/Two Way Students
53,bi_bil5_d,Numeric,8,# Tested -- Biology -- Dual Language Immersion/One Way Students
54,bi_bilv_d,Numeric,8,# Tested -- Biology -- No Bilingual Info Students
55,bi_esly_d,Numeric,8,# Tested -- Biology -- ESL Students Codes: 2 3
56,bi_esln_d,Numeric,8,# Tested -- Biology -- Not ESL Students
57,bi_esl2_d,Numeric,8,# Tested -- Biology -- ESL/Content-based students
58,bi_esl3_d,Numeric,8,# Tested -- Biology -- ESL/Pull-out students
59,bi_eslv_d,Numeric,8,# Tested -- Biology -- No ESL Info Students
60,bi_esbiy_d,Numeric,8,# Tested -- Biology -- Either Bilingual or ESL
61,bi_esbin_d,Numeric,8,# Tested -- Biology -- Neither Bilingual nor ESL  Codes: Biling=0 & ESL=0
62,bi_esbiv_d,Numeric,8,# Tested -- Biology -- No Both and/or Either Bilingual/ESL Info Students
63,bi_spey_d,Numeric,8,# Tested -- Biology -- Special Ed Students
64,bi_spen_d,Numeric,8,# Tested -- Biology -- Not Special Ed Students
65,bi_spev_d,Numeric,8,# Tested -- Biology -- No Special Ed Info Students
66,bi_gify_d,Numeric,8,# Tested -- Biology -- Gifted/Talented Students
67,bi_gifn_d,Numeric,8,# Tested -- Biology -- Not Gifted/Talented Students
68,bi_gifv_d,Numeric,8,# Tested -- Biology -- No Gifted/Talented Info Students
69,bi_atry_d,Numeric,8,# Tested -- Biology -- At-Risk Students
70,bi_atrn_d,Numeric,8,# Tested -- Biology -- Not At-Risk Students
71,bi_atrv_d,Numeric,8,# Tested -- Biology -- No At-Risk Info Students
72,bi_all_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- All Students
73,bi_sexm_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Male Students
74,bi_sexf_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Female Students
75,bi_sexv_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- No Sex Info Students
76,bi_ethh_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Hispanic/Latino Students
77,bi_ethi_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- American Indian or Alaska Native Students
78,bi_etha_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Asian Students
79,bi_ethb_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Black or African American Students
80,bi_ethp_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Native Hawaiian or Other Pacific Islander Students
81,bi_ethw_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- White Students
82,bi_eth2_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Two or More Races Students
83,bi_ethv_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- No Ethnicity Info Students
84,bi_ecoy_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Econ Disadv Students Codes: 1 2 9
85,bi_econ_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Not Econ Disadv Students
86,bi_eco1_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Free Meals Students
87,bi_eco2_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Reduced-Price Meals Students
88,bi_eco9_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Other Econ Disadv Students
89,bi_ecov_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- No Econ Disadv Info Students
90,bi_ti1y_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Title-I Participant Students Codes: 6 7 9
91,bi_ti1n_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Not Title-I Participant Students Codes: 0 8
92,bi_ti10_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Nonparticipant (Not Previous Participant Students)
93,bi_ti16_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Schoolwide Program Participant Students
94,bi_ti17_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Targeted Assistance Participant Students
95,bi_ti18_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Nonparticipant (Previous Participant) Students
96,bi_ti19_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Homeless Participant at Non-Title-I Schools Students
97,bi_ti1v_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- No Title-I Info Students
98,bi_migy_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Migrant Students
99,bi_mign_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Not Migrant Students
100,bi_migv_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- No Migrant Info Students
101,bi_lepc_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Emergent Bilingual/English Learner Students
102,bi_lepf_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Reclassified from EB/EL (Monitored 1st Year) Students
103,bi_leps_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Reclassified from EB/EL (Monitored 2nd Year) Students
104,bi_lept_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Reclassified from EB/EL (Monitored 3rd Year) Students
105,bi_lepr_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Reclassified from EB/EL (Monitored 4th Year) Students
106,bi_lepe_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Former EB/EL (Post Monitoring)  Students
107,bi_lep0_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Non-Emergent Bilingual/English Learner Students
108,bi_lepv_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- No EBILING Info Students
109,bi_bily_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Bilingual Students  Codes: 2 3 4 5
110,bi_biln_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Not Bilingual Students
111,bi_bil2_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Transitional Bilingual/Early Exit Students
112,bi_bil3_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Transitional Bilingual/Late Exit Students
113,bi_bil4_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Dual Language Immersion/Two Way Students
114,bi_bil5_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Dual Language Immersion/One Way Students
115,bi_bilv_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- No Bilingual Info Students
116,bi_esly_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- ESL Students Codes: 2 3
117,bi_esln_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Not ESL Students
118,bi_esl2_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- ESL/Content-based students
119,bi_esl3_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- ESL/Pull-out students
120,bi_eslv_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- No ESL Info Students
121,bi_esbiy_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Either Bilingual or ESL
122,bi_esbin_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Neither Bilingual nor ESL  Codes: Biling=0 & ESL=0
123,bi_esbiv_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- No Both and/or Either Bilingual/ESL Info Students
124,bi_spey_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Special Ed Students
125,bi_spen_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Not Special Ed Students
126,bi_spev_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- No Special Ed Info Students
127,bi_gify_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Gifted/Talented Students
128,bi_gifn_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Not Gifted/Talented Students
129,bi_gifv_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- No Gifted/Talented Info Students
130,bi_atry_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- At-Risk Students
131,bi_atrn_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- Not At-Risk Students
132,bi_atrv_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- Biology -- No At-Risk Info Students
133,bi_all_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- All Students
134,bi_sexm_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Male Students
135,bi_sexf_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Female Students
136,bi_sexv_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- No Sex Info Students
137,bi_ethh_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Hispanic/Latino Students
138,bi_ethi_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- American Indian or Alaska Native Students
139,bi_etha_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Asian Students
140,bi_ethb_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Black or African American Students
141,bi_ethp_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Native Hawaiian or Other Pacific Islander Students
142,bi_ethw_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- White Students
143,bi_eth2_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Two or More Races Students
144,bi_ethv_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- No Ethnicity Info Students
145,bi_ecoy_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Econ Disadv Students Codes: 1 2 9
146,bi_econ_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Not Econ Disadv Students
147,bi_eco1_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Free Meals Students
148,bi_eco2_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Reduced-Price Meals Students
149,bi_eco9_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Other Econ Disadv Students
150,bi_ecov_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- No Econ Disadv Info Students
151,bi_ti1y_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Title-I Participant Students Codes: 6 7 9
152,bi_ti1n_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Not Title-I Participant Students Codes: 0 8
153,bi_ti10_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Nonparticipant (Not Previous Participant Students)
154,bi_ti16_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Schoolwide Program Participant Students
155,bi_ti17_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Targeted Assistance Participant Students
156,bi_ti18_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Nonparticipant (Previous Participant) Students
157,bi_ti19_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Homeless Participant at Non-Title-I Schools Students
158,bi_ti1v_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- No Title-I Info Students
159,bi_migy_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Migrant Students
160,bi_mign_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Not Migrant Students
161,bi_migv_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- No Migrant Info Students
162,bi_lepc_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Emergent Bilingual/English Learner Students
163,bi_lepf_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Reclassified from EB/EL (Monitored 1st Year) Students
164,bi_leps_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Reclassified from EB/EL (Monitored 2nd Year) Students
165,bi_lept_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Reclassified from EB/EL (Monitored 3rd Year) Students
166,bi_lepr_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Reclassified from EB/EL (Monitored 4th Year) Students
167,bi_lepe_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Former EB/EL (Post Monitoring)  Students
168,bi_lep0_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Non-Emergent Bilingual/English Learner Students
169,bi_lepv_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- No EBILING Info Students
170,bi_bily_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Bilingual Students  Codes: 2 3 4 5
171,bi_biln_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Not Bilingual Students
172,bi_bil2_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Transitional Bilingual/Early Exit Students
173,bi_bil3_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Transitional Bilingual/Late Exit Students
174,bi_bil4_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Dual Language Immersion/Two Way Students
175,bi_bil5_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Dual Language Immersion/One Way Students
176,bi_bilv_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- No Bilingual Info Students
177,bi_esly_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- ESL Students Codes: 2 3
178,bi_esln_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Not ESL Students
179,bi_esl2_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- ESL/Content-based students
180,bi_esl3_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- ESL/Pull-out students
181,bi_eslv_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- No ESL Info Students
182,bi_esbiy_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Either Bilingual or ESL
183,bi_esbin_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Neither Bilingual nor ESL  Codes: Biling=0 & ESL=0
184,bi_esbiv_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- No Both and/or Either Bilingual/ESL Info Students
185,bi_spey_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Special Ed Students
186,bi_spen_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Not Special Ed Students
187,bi_spev_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- No Special Ed Info Students
188,bi_gify_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Gifted/Talented Students
189,bi_gifn_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Not Gifted/Talented Students
190,bi_gifv_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- No Gifted/Talented Info Students
191,bi_atry_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- At-Risk Students
192,bi_atrn_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- Not At-Risk Students
193,bi_atrv_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- Biology -- No At-Risk Info Students
194,bi_all_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- Biology -- All Students
195,bi_sexm_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- Biology -- Male Students
196,bi_sexf_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- Biology -- Female Students
197,bi_sexv_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- Biology -- No Sex Info Students
198,bi_ethh_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- Biology -- Hispanic/Latino Students
199,bi_ethi_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- Biology -- American Indian or Alaska Native Students
200,bi_etha_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- Biology -- Asian Students
201,bi_ethb_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- Biology -- Black or African American Students
202,bi_ethp_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- Biology -- Native Hawaiian or Other Pacific Islander Students
203,bi_ethw_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- Biology -- White Students
204,bi_eth2_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- Biology -- Two or More Races Students
205,bi_ethv_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- Biology -- No Ethnicity Info Students
206,bi_ecoy_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- Biology -- Econ Disadv Students Codes: 1 2 9
207,bi_econ_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- Biology -- Not Econ Disadv Students
208,bi_eco1_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- Biology -- Free Meals Students
209,bi_eco2_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- Biology -- Reduced-Price Meals Students
210,bi_eco9_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- Biology -- Other Econ Disadv Students
211,bi_ecov_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- Biology -- No Econ Disadv Info Students
212,bi_ti1y_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- Biology -- Title-I Participant Students Codes: 6 7 9
213,bi_ti1n_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- Biology -- Not Title-I Participant Students Codes: 0 8
214,bi_ti10_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- Biology -- Nonparticipant (Not Previous Participant Students)
215,bi_ti16_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- Biology -- Schoolwide Program Participant Students
216,bi_ti17_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- Biology -- Targeted Assistance Participant Students
