VARNUM,NAME,VARTYPE,LENGTH,LABEL
1,YEAR,Character,2,Test Administration Year
2,COURSE,Character,2,Course Code
3,REGION,Character,2,Education Service Center (Region) Number
4,DISTRICT,Character,6,District Number
5,DNAME,Character,15,District Name
6,CAMPUS,Character,9,Campus Number
7,CNAME,Character,15,Campus Name
8,e1_all_docs_n,Numeric,8,# Answer Documents Submitted -- English I -- All Students
9,e1_all_abs_n,Numeric,8,# Absent - Not Tested -- English I -- All Students
10,e1_all_oth_n,Numeric,8,# Other - Not Tested -- English I -- All Students
11,e1_all_d,Numeric,8,# Tested -- English I -- All Students
12,e1_sexm_d,Numeric,8,# Tested -- English I -- Male Students
13,e1_sexf_d,Numeric,8,# Tested -- English I -- Female Students
14,e1_sexv_d,Numeric,8,# Tested -- English I -- No Sex Info Students
15,e1_ethh_d,Numeric,8,# Tested -- English I -- Hispanic/Latino Students
16,e1_ethi_d,Numeric,8,# Tested -- English I -- American Indian or Alaska Native Students
17,e1_etha_d,Numeric,8,# Tested -- English I -- Asian Students
18,e1_ethb_d,Numeric,8,# Tested -- English I -- Black or African American Students
19,e1_ethp_d,Numeric,8,# Tested -- English I -- Native Hawaiian or Other Pacific Islander Students
20,e1_ethw_d,Numeric,8,# Tested -- English I -- White Students
21,e1_eth2_d,Numeric,8,# Tested -- English I -- Two or More Races Students
22,e1_ethv_d,Numeric,8,# Tested -- English I -- No Ethnicity Info Students
23,e1_ecoy_d,Numeric,8,# Tested -- English I -- Econ Disadv Students Codes: 1 2 9
24,e1_econ_d,Numeric,8,# Tested -- English I -- Not Econ Disadv Students
25,e1_eco1_d,Numeric,8,# Tested -- English I -- Free Meals Students
26,e1_eco2_d,Numeric,8,# Tested -- English I -- Reduced-Price Meals Students
27,e1_eco9_d,Numeric,8,# Tested -- English I -- Other Econ Disadv Students
28,e1_ecov_d,Numeric,8,# Tested -- English I -- No Econ Disadv Info Students
29,e1_ti1y_d,Numeric,8,# Tested -- English I -- Title-I Participant Students Codes: 6 7 9
30,e1_ti1n_d,Numeric,8,# Tested -- English I -- Not Title-I Participant Students Codes: 0 8
31,e1_ti10_d,Numeric,8,# Tested -- English I -- Nonparticipant (Not Previous Participant Students)
32,e1_ti16_d,Numeric,8,# Tested -- English I -- Schoolwide Program Participant Students
33,e1_ti17_d,Numeric,8,# Tested -- English I -- Targeted Assistance Participant Students
34,e1_ti18_d,Numeric,8,# Tested -- English I -- Nonparticipant (Previous Participant) Students
35,e1_ti19_d,Numeric,8,# Tested -- English I -- Homeless Participant at Non-Title-I Schools Students
36,e1_ti1v_d,Numeric,8,# Tested -- English I -- No Title-I Info Students
37,e1_migy_d,Numeric,8,# Tested -- English I -- Migrant Students
38,e1_mign_d,Numeric,8,# Tested -- English I -- Not Migrant Students
39,e1_migv_d,Numeric,8,# Tested -- English I -- No Migrant Info Students
40,e1_lepc_d,Numeric,8,# Tested -- English I -- Emergent Bilingual/English Learner Students
41,e1_lepf_d,Numeric,8,# Tested -- English I -- Reclassified from EB/EL (Monitored 1st Year) Students
42,e1_leps_d,Numeric,8,# Tested -- English I -- Reclassified from EB/EL (Monitored 2nd Year) Students
43,e1_lept_d,Numeric,8,# Tested -- English I -- Reclassified from EB/EL (Monitored 3rd Year) Students
44,e1_lepr_d,Numeric,8,# Tested -- English I -- Reclassified from EB/EL (Monitored 4th Year) Students
45,e1_lepe_d,Numeric,8,# Tested -- English I -- Former EB/EL (Post Monitoring)  Students
46,e1_lep0_d,Numeric,8,# Tested -- English I -- Non-Emergent Bilingual/English Learner Students
47,e1_lepv_d,Numeric,8,# Tested -- English I -- No EBILING Info Students
48,e1_bily_d,Numeric,8,# Tested -- English I -- Bilingual Students  Codes: 2 3 4 5
49,e1_biln_d,Numeric,8,# Tested -- English I -- Not Bilingual Students
50,e1_bil2_d,Numeric,8,# Tested -- English I -- Transitional Bilingual/Early Exit Students
51,e1_bil3_d,Numeric,8,# Tested -- English I -- Transitional Bilingual/Late Exit Students
52,e1_bil4_d,Numeric,8,# Tested -- English I -- Dual Language Immersion/Two Way Students
53,e1_bil5_d,Numeric,8,# Tested -- English I -- Dual Language Immersion/One Way Students
54,e1_bilv_d,Numeric,8,# Tested -- English I -- No Bilingual Info Students
55,e1_esly_d,Numeric,8,# Tested -- English I -- ESL Students Codes: 2 3
56,e1_esln_d,Numeric,8,# Tested -- English I -- Not ESL Students
57,e1_esl2_d,Numeric,8,# Tested -- English I -- ESL/Content-based students
58,e1_esl3_d,Numeric,8,# Tested -- English I -- ESL/Pull-out students
59,e1_eslv_d,Numeric,8,# Tested -- English I -- No ESL Info Students
60,e1_esbiy_d,Numeric,8,# Tested -- English I -- Either Bilingual or ESL
61,e1_esbin_d,Numeric,8,# Tested -- English I -- Neither Bilingual nor ESL  Codes: Biling=0 & ESL=0
62,e1_esbiv_d,Numeric,8,# Tested -- English I -- No Both and/or Either Bilingual/ESL Info Students
63,e1_spey_d,Numeric,8,# Tested -- English I -- Special Ed Students
64,e1_spen_d,Numeric,8,# Tested -- English I -- Not Special Ed Students
65,e1_spev_d,Numeric,8,# Tested -- English I -- No Special Ed Info Students
66,e1_gify_d,Numeric,8,# Tested -- English I -- Gifted/Talented Students
67,e1_gifn_d,Numeric,8,# Tested -- English I -- Not Gifted/Talented Students
68,e1_gifv_d,Numeric,8,# Tested -- English I -- No Gifted/Talented Info Students
69,e1_atry_d,Numeric,8,# Tested -- English I -- At-Risk Students
70,e1_atrn_d,Numeric,8,# Tested -- English I -- Not At-Risk Students
71,e1_atrv_d,Numeric,8,# Tested -- English I -- No At-Risk Info Students
72,e1_all_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- All Students
73,e1_sexm_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Male Students
74,e1_sexf_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Female Students
75,e1_sexv_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- No Sex Info Students
76,e1_ethh_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Hispanic/Latino Students
77,e1_ethi_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- American Indian or Alaska Native Students
78,e1_etha_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Asian Students
79,e1_ethb_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Black or African American Students
80,e1_ethp_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Native Hawaiian or Other Pacific Islander Students
81,e1_ethw_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- White Students
82,e1_eth2_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Two or More Races Students
83,e1_ethv_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- No Ethnicity Info Students
84,e1_ecoy_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Econ Disadv Students Codes: 1 2 9
85,e1_econ_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Not Econ Disadv Students
86,e1_eco1_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Free Meals Students
87,e1_eco2_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Reduced-Price Meals Students
88,e1_eco9_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Other Econ Disadv Students
89,e1_ecov_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- No Econ Disadv Info Students
90,e1_ti1y_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Title-I Participant Students Codes: 6 7 9
91,e1_ti1n_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Not Title-I Participant Students Codes: 0 8
92,e1_ti10_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Nonparticipant (Not Previous Participant Students)
93,e1_ti16_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Schoolwide Program Participant Students
94,e1_ti17_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Targeted Assistance Participant Students
95,e1_ti18_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Nonparticipant (Previous Participant) Students
96,e1_ti19_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Homeless Participant at Non-Title-I Schools Students
97,e1_ti1v_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- No Title-I Info Students
98,e1_migy_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Migrant Students
99,e1_mign_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Not Migrant Students
100,e1_migv_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- No Migrant Info Students
101,e1_lepc_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Emergent Bilingual/English Learner Students
102,e1_lepf_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Reclassified from EB/EL (Monitored 1st Year) Students
103,e1_leps_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Reclassified from EB/EL (Monitored 2nd Year) Students
104,e1_lept_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Reclassified from EB/EL (Monitored 3rd Year) Students
105,e1_lepr_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Reclassified from EB/EL (Monitored 4th Year) Students
106,e1_lepe_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Former EB/EL (Post Monitoring)  Students
107,e1_lep0_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Non-Emergent Bilingual/English Learner Students
108,e1_lepv_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- No EBILING Info Students
109,e1_bily_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Bilingual Students  Codes: 2 3 4 5
110,e1_biln_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Not Bilingual Students
111,e1_bil2_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Transitional Bilingual/Early Exit Students
112,e1_bil3_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Transitional Bilingual/Late Exit Students
113,e1_bil4_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Dual Language Immersion/Two Way Students
114,e1_bil5_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Dual Language Immersion/One Way Students
115,e1_bilv_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- No Bilingual Info Students
116,e1_esly_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- ESL Students Codes: 2 3
117,e1_esln_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Not ESL Students
118,e1_esl2_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- ESL/Content-based students
119,e1_esl3_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- ESL/Pull-out students
120,e1_eslv_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- No ESL Info Students
121,e1_esbiy_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Either Bilingual or ESL
122,e1_esbin_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Neither Bilingual nor ESL  Codes: Biling=0 & ESL=0
123,e1_esbiv_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- No Both and/or Either Bilingual/ESL Info Students
124,e1_spey_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Special Ed Students
125,e1_spen_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Not Special Ed Students
126,e1_spev_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- No Special Ed Info Students
127,e1_gify_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Gifted/Talented Students
128,e1_gifn_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Not Gifted/Talented Students
129,e1_gifv_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- No Gifted/Talented Info Students
130,e1_atry_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- At-Risk Students
131,e1_atrn_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- Not At-Risk Students
132,e1_atrv_unsatgl_nm,Numeric,8,# Did Not Meet Grade Level Performance -- English I -- No At-Risk Info Students
133,e1_all_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- All Students
134,e1_sexm_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Male Students
135,e1_sexf_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Female Students
136,e1_sexv_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- No Sex Info Students
137,e1_ethh_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Hispanic/Latino Students
138,e1_ethi_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- American Indian or Alaska Native Students
139,e1_etha_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Asian Students
140,e1_ethb_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Black or African American Students
141,e1_ethp_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Native Hawaiian or Other Pacific Islander Students
142,e1_ethw_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- White Students
143,e1_eth2_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Two or More Races Students
144,e1_ethv_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- No Ethnicity Info Students
145,e1_ecoy_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Econ Disadv Students Codes: 1 2 9
146,e1_econ_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Not Econ Disadv Students
147,e1_eco1_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Free Meals Students
148,e1_eco2_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Reduced-Price Meals Students
149,e1_eco9_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Other Econ Disadv Students
150,e1_ecov_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- No Econ Disadv Info Students
151,e1_ti1y_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Title-I Participant Students Codes: 6 7 9
152,e1_ti1n_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Not Title-I Participant Students Codes: 0 8
153,e1_ti10_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Nonparticipant (Not Previous Participant Students)
154,e1_ti16_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Schoolwide Program Participant Students
155,e1_ti17_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Targeted Assistance Participant Students
156,e1_ti18_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Nonparticipant (Previous Participant) Students
157,e1_ti19_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Homeless Participant at Non-Title-I Schools Students
158,e1_ti1v_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- No Title-I Info Students
159,e1_migy_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Migrant Students
160,e1_mign_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Not Migrant Students
161,e1_migv_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- No Migrant Info Students
162,e1_lepc_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Emergent Bilingual/English Learner Students
163,e1_lepf_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Reclassified from EB/EL (Monitored 1st Year) Students
164,e1_leps_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Reclassified from EB/EL (Monitored 2nd Year) Students
165,e1_lept_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Reclassified from EB/EL (Monitored 3rd Year) Students
166,e1_lepr_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Reclassified from EB/EL (Monitored 4th Year) Students
167,e1_lepe_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Former EB/EL (Post Monitoring)  Students
168,e1_lep0_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Non-Emergent Bilingual/English Learner Students
169,e1_lepv_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- No EBILING Info Students
170,e1_bily_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Bilingual Students  Codes: 2 3 4 5
171,e1_biln_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Not Bilingual Students
172,e1_bil2_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Transitional Bilingual/Early Exit Students
173,e1_bil3_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Transitional Bilingual/Late Exit Students
174,e1_bil4_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Dual Language Immersion/Two Way Students
175,e1_bil5_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Dual Language Immersion/One Way Students
176,e1_bilv_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- No Bilingual Info Students
177,e1_esly_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- ESL Students Codes: 2 3
178,e1_esln_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Not ESL Students
179,e1_esl2_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- ESL/Content-based students
180,e1_esl3_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- ESL/Pull-out students
181,e1_eslv_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- No ESL Info Students
182,e1_esbiy_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Either Bilingual or ESL
183,e1_esbin_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Neither Bilingual nor ESL  Codes: Biling=0 & ESL=0
184,e1_esbiv_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- No Both and/or Either Bilingual/ESL Info Students
185,e1_spey_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Special Ed Students
186,e1_spen_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Not Special Ed Students
187,e1_spev_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- No Special Ed Info Students
188,e1_gify_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Gifted/Talented Students
189,e1_gifn_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Not Gifted/Talented Students
190,e1_gifv_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- No Gifted/Talented Info Students
191,e1_atry_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- At-Risk Students
192,e1_atrn_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- Not At-Risk Students
193,e1_atrv_approgl_nm,Numeric,8,# Approaches Grade Level Performance -- English I -- No At-Risk Info Students
194,e1_all_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- English I -- All Students
195,e1_sexm_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- English I -- Male Students
196,e1_sexf_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- English I -- Female Students
197,e1_sexv_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- English I -- No Sex Info Students
198,e1_ethh_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- English I -- Hispanic/Latino Students
199,e1_ethi_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- English I -- American Indian or Alaska Native Students
200,e1_etha_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- English I -- Asian Students
201,e1_ethb_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- English I -- Black or African American Students
202,e1_ethp_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- English I -- Native Hawaiian or Other Pacific Islander Students
203,e1_ethw_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- English I -- White Students
204,e1_eth2_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- English I -- Two or More Races Students
205,e1_ethv_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- English I -- No Ethnicity Info Students
206,e1_ecoy_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- English I -- Econ Disadv Students Codes: 1 2 9
207,e1_econ_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- English I -- Not Econ Disadv Students
208,e1_eco1_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- English I -- Free Meals Students
209,e1_eco2_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- English I -- Reduced-Price Meals Students
210,e1_eco9_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- English I -- Other Econ Disadv Students
211,e1_ecov_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- English I -- No Econ Disadv Info Students
212,e1_ti1y_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- English I -- Title-I Participant Students Codes: 6 7 9
213,e1_ti1n_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- English I -- Not Title-I Participant Students Codes: 0 8
214,e1_ti10_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- English I -- Nonparticipant (Not Previous Participant Students)
215,e1_ti16_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- English I -- Schoolwide Program Participant Students
216,e1_ti17_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- English I -- Targeted Assistance Participant Students
217,e1_ti18_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- English I -- Nonparticipant (Previous Participant) Students
218,e1_ti19_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- English I -- Homeless Participant at Non-Title-I Schools Students
219,e1_ti1v_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- English I -- No Title-I Info Students
220,e1_migy_meetsgl_nm,Numeric,8,# Meets Grade Level Performance -- English I -- Migrant Students
